artist_key_1,artist_key_2,shared_songs
Artist_Arik_Einstien,Artist_Yoni_Rechter,43
Artist_Sabliminal,Artist_haTzel,30
Artist_Zehava_Ben,Artist_Zohar_Argov,28
Artist_Ofra_Haza,Artist_Shoshana_Damari,21
Artist_Yoni_Rechter,Artist_Gidi_Gov,20
Artist_Yaffa_yarkoni,Artist_Shoshana_Damari,18
Artist_Yaffa_yarkoni,Artist_Yehoram_Gaon,18
Artist_Yehoram_Gaon,Artist_Shoshana_Damari,17
Artist_Arik_Einstien,Artist_Shalom_Chanoch,16
Artist_Yaffa_yarkoni,Artist_Arik_Einstien,15
Artist_Arik_Einstien,Artist_Ofra_Haza,14
Artist_Ilanit,Artist_Yaffa_yarkoni,13
Artist_Ofra_Haza,Artist_Yehoram_Gaon,13
Artist_Arik_Einstien,Artist_Shoshana_Damari,12
Artist_Shoshana_Damari,Artist_Ester_Ofarim,12
Artist_Ofra_Haza,Artist_Ester_Ofarim,12
Artist_Arik_Einstien,Artist_Yehoram_Gaon,12
Artist_Ishay_Levi,Artist_Zohar_Argov,11
Artist_Yoni_Rechter,Artist_Nurit_Galron,11
Artist_Zehava_Ben,Artist_Yehoram_Gaon,10
Artist_Arik_Einstien,Artist_Yigal_Bashan,10
Artist_Yaffa_yarkoni,Artist_Ofra_Haza,10
Artist_Arik_Einstien,Artist_Arik_Sinai,10
Artist_Yehoram_Gaon,Artist_Arik_lavi,10
Artist_Yossi_Banai,Artist_Yoni_Rechter,9
Artist_Arik_Einstien,Artist_Ester_Ofarim,9
Artist_Shoshana_Damari,Artist_Boaz_Sharabi,9
Artist_Chaim_Moshe,Artist_Zohar_Argov,9
Artist_Ishay_Levi,Artist_Zehava_Ben,9
Artist_Uzi_Hitman,Artist_Arik_Einstien,9
Artist_Arik_Einstien,Artist_Hava_Alberstien,9
Artist_Arik_Einstien,Artist_Yehudit_Ravitz,8
Artist_Zehava_Ben,Artist_Shoshana_Damari,8
Artist_Zehava_Ben,Artist_Ofra_Haza,8
Artist_Mati_Kaspi,Artist_Hava_Alberstien,8
Artist_Arik_Einstien,Artist_HaTarnegolim,7
Artist_Ishay_Levi,Artist_Eyal_Golan,7
Artist_Shimi_Tavori,Artist_Zehava_Ben,7
Artist_Yehoram_Gaon,Artist_Ester_Ofarim,7
Artist_Arik_Einstien,Artist_Arik_lavi,7
Artist_Zehava_Ben,Artist_Rivka_zohar,7
Artist_Hava_Alberstien,Artist_Si_Heiman,7
Artist_Shimi_Tavori,Artist_Zohar_Argov,7
Artist_Zohar_Argov,Artist_Eyal_Golan,6
Artist_Gidi_Gov,Artist_Kaveret,6
Artist_Shimon_Buskila,Artist_Lior_Narkis,6
Artist_Zehava_Ben,Artist_Arik_Einstien,6
Artist_Yehoram_Gaon,Artist_Boaz_Sharabi,6
Artist_Zohar_Argov,Artist_Ofra_Haza,6
